This list contains all games supported by FinalBurn Neo.

22811 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

+---------------------------------+--------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------+-------------+-----------------------------------------------------------------+--------------------------------+-------------------------------------------------------------------------------------+
| name                            | status | full name                                                                                                                                                              | parent                  | year        | company                                                         | hardware                       | remarks                                                                             |
| 3x3puzzla                       |        | 3X3 Puzzle (Normal)                                                                                                                                                    | 3x3puzzl                | 1998        | Ace Enterprise                                                  | Miscellaneous                  |                                                                                     |
| 4enraya                         |        | 4 En Raya (set 1)                                                                                                                                                      |                         | 1990        | IDSA                                                            | Miscellaneous                  |                                                                                     |
| 4enrayaa                        |        | 4 En Raya (set 2)                                                                                                                                                      | 4enraya                 | 1990        | IDSA                                                            | Miscellaneous                  |                                                                                     |
| 4in1                            |        | 4 Fun in 1                                                                                                                                                             |                         | 1981        | Armenia / Food and Fun                                          | Galaxian                       |                                                                                     |
| md_4in1pb                       |        | 4 in 1 (Pirate)                                                                                                                                                        |                         | 199?        | <unknown>                                                       | Sega Megadrive                 |                                                                                     |
| sms_4pak                        |        | 4 PAK All Action (Australia)                                                                                                                                           |                         | 1995        | HES                                                             | Sega Master System             |                                                                                     |
| 4play                           |        | 4 player input test                                                                                                                                                    |                         | ???         | SNK                                                             | Neo Geo MVS                    | 4 player  input test cartridge                                                      |
| spec_4soccersims1               |        | 4 Soccer Simulators - 11-a-Side Soccer (128K)                                                                                                                          |                         | 1989        | Codemasters                                                     | ZX Spectrum                    |                                                                                     |
| spec_4soccersims2               |        | 4 Soccer Simulators - Indoor Soccer (128K)                                                                                                                             |                         | 1989        | Codemasters                                                     | ZX Spectrum                    |                                                                                     |
| spec_4soccersims3               |        | 4 Soccer Simulators - Soccer Skills (128K)                                                                                                                             |                         | 1989        | Codemasters                                                     | ZX Spectrum                    |                                                                                     |
| spec_4soccersims4               |        | 4 Soccer Simulators - Street Soccer (128K)                                                                                                                             |                         | 1989        | Codemasters                                                     | ZX Spectrum                    |                                                                                     |
| 4dwarrio                        |        | 4-D Warriors (315-5162)                                                                                                                                                |                         | 1985        | Coreland / Sega                                                 | System 1                       |                                                                                     |
| cv_421                          |        | 421 (HB)                                                                                                                                                               |                         | 2002        | Mathieu Proulx                                                  | ColecoVision                   |                                                                                     |
| snes_46okunmono                 |        | 46 Okunen Monogatari - Harukanaru Eden e (Japan)                                                                                                                       | snes_evo                | 1992        | Enix/Almanic                                                    | Nintendo                       |                                                                                     |
| msx_4x4offroad                  |        | 4x4 Off-Road Racing (Euro)                                                                                                                                             |                         | 1988        | U.S. Gold - Epyx Inc.                                           | MSX                            | Switch tape side at title screen                                                    |
| gg_5in1fun                      |        | 5 in 1 Funpak (USA)                                                                                                                                                    |                         | 1994        | Interplay                                                       | Sega Game Gear                 |                                                                                     |
| spec_5in1tetris                 |        | 5 in 1 Tetris (128K)                                                                                                                                                   |                         | 1995        | Mortal Kombat                                                   | ZX Spectrum                    |                                                                                     |
| nes_5star                       |        | 5-star Restaurant (HB)                                                                                                                                                 |                         | 2023        | Wendel Scardua                                                  | Miscellaneous                  |                                                                                     |
| msx_50metres                    |        | 50 Metres (HB)                                                                                                                                                         |                         | 2018        | Cobinee                                                         | MSX                            |                                                                                     |
| md_6pak                         |        | 6-Pak (USA)                                                                                                                                                            |                         | 1996        | Sega                                                            | Sega Megadrive                 |                                                                                     |
| 600                             |        | 600                                                                                                                                                                    | turtles                 | 1981        | Konami                                                          | Galaxian                       |                                                                                     |
| 64streetj                       |        | 64th. Street: A Detective Story (Japan, set 1)                                                                                                                         | 64street                | 1991        | Jaleco                                                          | Mega System 1                  |                                                                                     |
| 64streetja                      |        | 64th. Street: A Detective Story (Japan, set 2)                                                                                                                         | 64street                | 1991        | Jaleco                                                          | Mega System 1                  |                                                                                     |
| 64street                        |        | 64th. Street: A Detective Story (World)                                                                                                                                |                         | 1991        | Jaleco                                                          | Mega System 1                  |                                                                                     |
| md_688atsub                     |        | 688 Attack Sub (Euro, USA)                                                                                                                                             |                         | 1991        | Sega                                                            | Sega Megadrive                 |                                                                                     |
| 7ordi                           |        | 7 Ordi (Korea)                                                                                                                                                         |                         | 2002        | Yun Sung                                                        | Miscellaneous                  |                                                                                     |
| spec_7777                       |        | 7.7.7.7. (128K) (HB)                                                                                                                                                   |                         | 2023        | Anhot studio                                                    | ZX Spectrum                    |                                                                                     |
| spec_70908                      |        | 70908 (128K) (HB, Tech-Demo)                                                                                                                                           |                         | 2019        | Scopex                                                          | ZX Spectrum                    |                                                                                     |
| spec_720deg                     |        | 720 Degrees (48K)                                                                                                                                                      |                         | 1986        | U.S. Gold                                                       | ZX Spectrum                    |                                                                                     |
| nes_720degrees                  |        | 720 Degrees (USA)                                                                                                                                                      |                         | 1989        | Mindscape                                                       | Miscellaneous                  |                                                                                     |
| spec_750cc                      |        | 750cc Grand Prix (128K)                                                                                                                                                |                         | 1991        | Code Masters                                                    | ZX Spectrum                    |                                                                                     |
| snes_7thsaga                    |        | 7th Saga, The (USA)                                                                                                                                                    |                         | 1993        | Enix                                                            | Nintendo                       |                                                                                     |
| snes_7thsagardx                 |        | 7th Saga, The - Redux (Hack, v3.0)                                                                                                                                     | snes_7thsaga            | 2013        | Nati                                                            | Nintendo                       |                                                                                     |
| spec_8chs                       |        | 8 Channels (48K) (HB, Tech-Demo)                                                                                                                                       |                         | 2011        | Mister Beep                                                     | ZX Spectrum                    |                                                                                     |
| nes_8eyesj                      |        | 8 Eye's (Japan)                                                                                                                                                        | nes_8eyes               | 1988        | Seta                                                            | Miscellaneous                  |                                                                                     |
| nes_8eyes                       |        | 8 Eyes (USA)                                                                                                                                                           |                         | 1990        | Taxan                                                           | Miscellaneous                  |                                                                                     |
| nes_8bitpics                    |        | 8-bit Illustrations (HB)                                                                                                                                               |                         | 2015        | RiKi                                                            | Miscellaneous                  |                                                                                     |
| nes_8bitmusic                   |        | 8-bit Music Power (HB)                                                                                                                                                 |                         | 2017        | RiKi - Columbus Circle                                          | Miscellaneous                  |                                                                                     |
| nes_8bitmusice                  |        | 8-bit Music Power ENCORE (HB)                                                                                                                                          | nes_8bitmusic           | 2017        | RiKi                                                            | Miscellaneous                  |                                                                                     |
| nes_8bitrhylan                  |        | 8-Bit Rhythm Land (HB)                                                                                                                                                 |                         | 2018        | Columbus Circle                                                 | Miscellaneous                  |                                                                                     |
| spec_8bitwars                   |        | 8-Bit Wars, The (48K) (HB)                                                                                                                                             |                         | 2022        | Cronosoft                                                       | ZX Spectrum                    |                                                                                     |
| nes_8bitxmas17                  |        | 8-bit XMAS 2017 (HB)                                                                                                                                                   |                         | 2017        | retroUSB                                                        | Miscellaneous                  | 8-bit XMAS 2008-2016 Compilation                                                    |
| nes_8bitxmas18                  |        | 8-bit XMAS 2018 (HB)                                                                                                                                                   |                         | 2018        | retroUSB                                                        | Miscellaneous                  |                                                                                     |
| nes_8bitxmas19                  |        | 8-bit XMAS 2019 (HB)                                                                                                                                                   |                         | 2019        | retroUSB                                                        | Miscellaneous                  |                                                                                     |
| nes_8bitxmas20                  |        | 8-bit XMAS 2020 (HB)                                                                                                                                                   |                         | 2020        | retroUSB                                                        | Miscellaneous                  |                                                                                     |
| nes_8bitxmas21                  |        | 8-bit XMAS 2021 (HB)                                                                                                                                                   |                         | 2021        | retroUSB                                                        | Miscellaneous                  |                                                                                     |
| nes_8bitxmas22                  |        | 8-bit XMAS 2022 (HB)                                                                                                                                                   |                         | 2022        | retroUSB                                                        | Miscellaneous                  |                                                                                     |
| 800fatha                        |        | 800 Fathoms (older)                                                                                                                                                    | mariner                 | 1981        | Amenip (US Billiards Inc. license)                              | Galaxian                       |                                                                                     |
| 800fath                         |        | 800 Fathoms                                                                                                                                                            | mariner                 | 1981        | Amenip (US Billiards Inc. license)                              | Galaxian                       |                                                                                     |
| snes_90minepg                   |        | 90 Minutes - European Prime Goal (Euro)                                                                                                                                |                         | 1995        | Ocean - Namco                                                   | Nintendo                       |                                                                                     |
| spec_911ts                      |        | 911 TS - Tiger Shark (48K)                                                                                                                                             |                         | 1985        | Elite Systems                                                   | ZX Spectrum                    | Z, X, O, and P to play                                                              |
| sms_94swc                       |        | 94 Super World Cup Soccer (Korea)                                                                                                                                      |                         | 1994        | Daou Infosys                                                    | Sega Master System             |                                                                                     |
| md_bugslife                     |        | A Bug's Life (Taiwan) (Unl)                                                                                                                                            |                         | 1999        | X Boy                                                           | Sega Megadrive                 |                                                                                     |
| md_bugslifea                    |        | A Bug's Life (Taiwan, Alt?) (Unl)                                                                                                                                      | md_bugslife             | 1999        | X Boy                                                           | Sega Megadrive                 |                                                                                     |
| msx_m36e                        |        | A Life Planet - M36 - Mother Brain has been aliving (Hack, English)                                                                                                    | msx_m36                 | 2017        | Hubz                                                            | MSX                            | English translation + new font                                                      |
| msx_m36                         |        | A Life Planet - M36 - Mother Brain has been aliving (Japan)                                                                                                            |                         | 1987        | Pixel                                                           | MSX                            |                                                                                     |
| msx_anaza                       |        | A Na Za - Kaleidoscope Special (Japan)                                                                                                                                 |                         | 1987        | Hot-B                                                           | MSX                            |                                                                                     |
| nes_atrainj                     |        | A Ressha de Ikou (Japan)                                                                                                                                               | nes_atrain              | 1991        | Pony Canyon                                                     | Miscellaneous                  |                                                                                     |
| md_aresshmd                     |        | A Ressha de Ikou MD - Take the 'A' Train (Japan)                                                                                                                       |                         | 1992        | Sega                                                            | Sega Megadrive                 |                                                                                     |
| nes_atrain                      |        | A Ressha de Ikou ~ A-Train (Hack, English)                                                                                                                             |                         | 2021        | AgentOrange & Jink640                                           | Miscellaneous                  |                                                                                     |
| spec_verysheepyxmas             |        | A Very Sheepy Christmas (128K) (HB)                                                                                                                                    |                         | 2020        | Quantum Sheep                                                   | ZX Spectrum                    |                                                                                     |
| spec_ateamp1                    |        | A-Team, The - El Equipo A - Part 1 (Spanish) (128K)                                                                                                                    |                         | 1988        | Zafiro Software Division                                        | ZX Spectrum                    | SPACE: smart bomb                                                                   |
| spec_ateamp2                    |        | A-Team, The - El Equipo A - Part 2 (Spanish) (128K)                                                                                                                    | spec_ateamp1            | 1988        | Zafiro Software Division                                        | ZX Spectrum                    | Password: WHJONDPEAQR                                                               |
| ad2083                          |        | A. D. 2083                                                                                                                                                             |                         | 1983        | Midcoin                                                         | Galaxian                       | Incomplete Sound                                                                    |
| abcopjd                         |        | A.B. Cop (Japan) (bootleg of FD1094 317-0169b set)                                                                                                                     | abcop                   | 1990        | bootleg                                                         | X-Board                        |                                                                                     |
| abcopj                          |        | A.B. Cop (Japan) (FD1094 317-0169b)                                                                                                                                    | abcop                   | 1990        | Sega                                                            | X-Board                        |                                                                                     |
| abcopd                          |        | A.B. Cop (World) (bootleg of FD1094 317-0169b set)                                                                                                                     | abcop                   | 1990        | bootleg                                                         | X-Board                        |                                                                                     |
| abcop                           |        | A.B. Cop (World) (FD1094 317-0169b)                                                                                                                                    |                         | 1990        | Sega                                                            | X-Board                        |                                                                                     |
| msx_ae                          |        | A.E. (Japan)                                                                                                                                                           |                         | 1982-83     | Toshiba EMI                                                     | MSX                            |                                                                                     |
| cv_ae                           |        | A.E.:Anti-Environment Encounter (HB)                                                                                                                                   |                         | 1984-2012   | Broderbund Software                                             | ColecoVision                   | Published by Team Pixelboy                                                          |
| snes_asp                        |        | A.S.P. - Air Strike Patrol (USA)                                                                                                                                       |                         | 1994        | Seta                                                            | Nintendo                       |                                                                                     |
| msx_a1spirit                    |        | A1 Spirit - The Way to Formula-1 (Japan)                                                                                                                               | msx_f1spirit            | 1987        | Panasoft                                                        | MSX                            |                                                                                     |
| gg_aaharima                     |        | Aa Harimanada (Japan)                                                                                                                                                  |                         | 1993        | Sega                                                            | Sega Game Gear                 |                                                                                     |
| md_aaharima                     |        | Aa Harimanada (Japan)                                                                                                                                                  |                         | 1993        | Sega                                                            | Sega Megadrive                 |                                                                                     |
| md_aaahhrm                      |        | AAAHH!!! Real Monsters (Euro)                                                                                                                                          |                         | 1995        | Viacom New Media                                                | Sega Megadrive                 |                                                                                     |
| md_aaahhrmu                     |        | AAAHH!!! Real Monsters (USA)                                                                                                                                           | md_aaahhrm              | 1995        | Viacom New Media                                                | Sega Megadrive                 |                                                                                     |
| snes_aaahhrm                    |        | Aaahh!!! Real Monsters (USA)                                                                                                                                           |                         | 1995        | Viacom New Media                                                | Nintendo                       |                                                                                     |
| spec_aaargh                     |        | Aaargh! (48K)                                                                                                                                                          |                         | 1989        | Binary Design                                                   | ZX Spectrum                    |                                                                                     |
| msx_aaargh                      |        | Aaargh! (Euro, Spanish)                                                                                                                                                |                         | 1989        | Dro Soft                                                        | MSX                            |                                                                                     |
| msx_abadcrim                    |        | Abadia del Crimen, La (Euro, Spanish)                                                                                                                                  |                         | 1988        | Opera Soft                                                      | MSX                            |                                                                                     |
| spec_abadcrim                   |        | Abadia del Crimen, La (Spanish) (128K)                                                                                                                                 |                         | 1988        | Opera Soft                                                      | ZX Spectrum                    | To use main character: A, K, L and SPACE                                            |
| nes_abadox                      |        | Abadox - The Deadly Inner War (USA)                                                                                                                                    |                         | 1990        | Milton Bradley                                                  | Miscellaneous                  |                                                                                     |
| nes_abatengu                    |        | Abarenbou Tengu (Japan)                                                                                                                                                | nes_zombienation        | 1990        | Meldac                                                          | Miscellaneous                  |                                                                                     |
| snes_abcmnfj                    |        | ABC Monday Night Football (Japan)                                                                                                                                      | snes_abcmnf             | 1993        | Data East                                                       | Nintendo                       |                                                                                     |
| snes_abcmnf                     |        | ABC Monday Night Football (USA)                                                                                                                                        |                         | 1993        | Data East                                                       | Nintendo                       |                                                                                     |
| abscam                          |        | Abscam                                                                                                                                                                 | puckman                 | 1981        | GL (US Billiards license)                                       | Pac-man                        |                                                                                     |
| spec_abusimpr                   |        | Abu Simbel Profanation (English) (48K)                                                                                                                                 |                         | 1987        | Gremlin Graphics                                                | ZX Spectrum                    |                                                                                     |
| msx_abusimbel                   |        | Abu Simbel Profanation (Euro, Spanish)                                                                                                                                 |                         | 1986        | Dinamic Software                                                | MSX                            |                                                                                     |
| spec_abusimprd                  |        | Abu Simbel Profanation (Spanish) (48K)                                                                                                                                 | spec_abusimpr           | 1985        | Dinamic Software                                                | ZX Spectrum                    |                                                                                     |
| abyssali                        |        | Abyssal Infants (HB)                                                                                                                                                   |                         | 2021        | Kako Eimon                                                      | Neo Geo MVS                    |                                                                                     |
| md_abyssal                      |        | Abyssal Infants (HB)                                                                                                                                                   |                         | 2021        | kakoeimon                                                       | Sega Megadrive                 |                                                                                     |
| snes_accelebridte               |        | Accele Brid (Hack, English)                                                                                                                                            |                         | 2016        | Aeon Genesis                                                    | Nintendo                       |                                                                                     |
| snes_accelebridj                |        | Accele Brid (Japan)                                                                                                                                                    | snes_accelebridte       | 1993        | Tommy - Genki                                                   | Nintendo                       |                                                                                     |
| spec_ace                        |        | ACE - Air Combat Emulator (48K)                                                                                                                                        |                         | 1986        | Cascade Games                                                   | ZX Spectrum                    | LSHIFT-Z: throttle - U: undercarriage - M: map - J: eject                           |
| spec_ace2                       |        | ACE 2 - The Ultimate Head to Head Conflict (128K)                                                                                                                      |                         | 1987        | Cascade Games                                                   | ZX Spectrum                    | D-S/K-J: throttle - W/O: select weapon - C/B: map                                   |
| spec_ace2088                    |        | ACE 2088 (128K)                                                                                                                                                        |                         | 1989        | Cascade Games                                                   | ZX Spectrum                    | SHIFT+J/K: speed up/down - L, R, T: change weapons - W: set display                 |
| aceattac                        |        | Ace Attacker (FD1094 317-0059)                                                                                                                                         |                         | 1988        | Sega                                                            | System 16B                     |                                                                                     |
| aceattaca                       |        | Ace Attacker (Japan, System 16A, FD1094 317-0060)                                                                                                                      | aceattac                | 1988        | Sega                                                            | System 16A                     |                                                                                     |
| msx_acegun                      |        | Ace Gun (HB)                                                                                                                                                           |                         | 2020        | Cobinee                                                         | MSX                            |                                                                                     |
| spec_aceofaces                  |        | Ace of Aces (48K)                                                                                                                                                      |                         | 1986        | U.S. Gold                                                       | ZX Spectrum                    | Keys from 1 to 4 to change view - 'M' to display map                                |
| msx_aceofaces                   |        | Ace of Aces (Euro)                                                                                                                                                     |                         | 1986        | U.S. Gold                                                       | MSX                            | Keys from 1 to 4 to change view - 'M' to display map                                |
| sms_aceoface                    |        | Ace of Aces (Euro)                                                                                                                                                     |                         | 1991        | Sega                                                            | Sega Master System             |                                                                                     |
| snes_aceneraej                  |        | Ace wo Nerae! (Japan)                                                                                                                                                  | snes_aceneraete         | 1993        | Nippon Telenet                                                  | Nintendo                       | DSP-1 enhancement chip                                                              |
